ROUTEID,R2,MODEL,MAE,RMSE,Weight
15_18,0.6296438250722599,RFR,-344.64761319512246,-563.6940483118428,0.0004212200607625
13_70,0.3043812719225791,LR,-644.6508119764525,-826.0963877791675,0.0003960725944483
38B_44,0.4455212045492331,RFR,-428.4101823700114,-579.5735874282477,0.0003960725944483
38_10,0.611822556223289,RFR,-442.0272747342197,-587.6522309568604,0.0003960725944483
142_9,-0.0203105547011697,SVR,-207.955313803992,-398.3502394643203,0.0003960725944483
142_8,0.3784252779090883,LR,-152.25411307413876,-199.8297035891262,0.0003960725944483
84A_1,0.5143179306169238,RFR,-456.1097756729564,-643.0999563238034,0.0003834988612912
16C_28,0.430135748695897,RFR,-281.0252595093337,-373.9880941525091,0.0003819271446466
68_84,0.6274073433520267,LR,-474.86918078256167,-617.7081054069942,0.000380355428002
68_78,0.7489637524034682,LR,-420.8319771515837,-562.2213080104501,0.000380355428002
39A_42,0.2837907330134284,LR,-242.31800176682864,-342.1872484045168,0.0003740685614234
7A_89,0.5453868923905558,LR,-443.3779083356093,-602.3028289768372,0.0003740685614234
40_32,0.5758690046448354,RFR,-236.9308456453124,-324.10297569663766,0.0003740685614234
7_74,0.5375179816817971,LR,-530.1504263817901,-658.2269862077566,0.0003740685614234
17A_16,0.4988217714420739,LR,-226.4368571953374,-314.2941073739791,0.0003677816948449
17A_18,0.4680640492762364,LR,-263.06033465069464,-342.4874428185704,0.0003599231116217
40E_90,0.1793389662468063,LR,-385.0159756808116,-493.5990621088287,0.00034577766182
44B_60,0.3603101967162707,KNNR,-326.2558597244588,-485.3790502763095,0.0003316322120182
38B_40,0.4796123168471465,LR,-376.0613594660304,-471.2273980748716,0.0003300604953736
7B_93,0.4283368453730116,LR,-483.515510340092,-683.0461707394985,0.000328488778729
39_23,0.1348775975481033,LR,-219.19209473144284,-309.3260114801759,0.0003206301955058
84X_62,0.5187247417430513,RFR,-645.4755271609965,-808.6190733944272,0.0003206301955058
14_12,0.6824654451865402,RFR,-231.1503777926738,-380.6417680057827,0.0003143433289272
145_106,0.2045064430957399,RFR,-344.87670972534096,-550.00508509034,0.0003143433289272
27_12,0.4430603140486779,LR,-235.3935130673593,-325.12957448237825,0.000311199895638
68_66,0.4692924910733877,LR,-557.3819986979166,-759.6937459309896,0.0003096281789933
75_18,0.7515583710172202,LR,-534.3126088957924,-725.528961103696,0.0003064847457041
75_21,0.8544892788006097,RFR,-529.5916155300423,-724.0830063358866,0.0003017695957701
67X_46,0.4520268905617586,LR,-469.28755808821217,-603.7953550133681,0.0002829089960345
33X_49,0.5186416027220468,LR,-442.1740368133264,-596.5995611665795,0.0002829089960345
27B_36,0.1430726573265653,RFR,-269.0826696456223,-348.0470530041448,0.0002640483962989
38_15,0.2297505894088005,LR,-442.8641258915602,-685.7421466660552,0.0002640483962989
142_12,0.1231148917686488,RFR,-536.4179403384439,-697.992624076791,0.0002640483962989
47_138,0.2429423715753404,RFR,-398.8659580938354,-522.7101754292145,0.0002640483962989
39X_1,0.418728219515283,RFR,-490.894447520327,-652.0526326295881,0.0002640483962989
161_50,0.4755954532431148,LR,-515.8568173163234,-645.8097155627541,0.0002624766796542
161_51,0.3527477482498395,LR,-310.57608224918624,-451.8234822865375,0.000259333246365
